audio_path,transcript,split,speaker_id,language,command_id
custom_dataset/audio/Speaker1/speaker_01_phrase_01_take_01.wav,Turn on the light,train,speaker_01,en,light_on
custom_dataset/audio/Speaker1/speaker_01_phrase_01_take_02.wav,Turn on the light,val,speaker_01,en,light_on
custom_dataset/audio/Speaker1/speaker_01_phrase_01_take_03.wav,Turn on the light,test,speaker_01,en,light_on
custom_dataset/audio/Speaker1/speaker_01_phrase_02_take_01.wav,Turn off the light,train,speaker_01,en,light_off
custom_dataset/audio/Speaker1/speaker_01_phrase_02_take_02.wav,Turn off the light,val,speaker_01,en,light_off
custom_dataset/audio/Speaker1/speaker_01_phrase_02_take_03.wav,Turn off the light,test,speaker_01,en,light_off
custom_dataset/audio/Speaker1/speaker_01_phrase_03_take_01.wav,Open the door,train,speaker_01,en,door_open
custom_dataset/audio/Speaker1/speaker_01_phrase_03_take_02.wav,Open the door,val,speaker_01,en,door_open
custom_dataset/audio/Speaker1/speaker_01_phrase_03_take_03.wav,Open the door,test,speaker_01,en,door_open
custom_dataset/audio/Speaker1/speaker_01_phrase_04_take_01.wav,Close the door,train,speaker_01,en,door_close
custom_dataset/audio/Speaker1/speaker_01_phrase_04_take_02.wav,Close the door,val,speaker_01,en,door_close
custom_dataset/audio/Speaker1/speaker_01_phrase_04_take_03.wav,Close the door,test,speaker_01,en,door_close
custom_dataset/audio/Speaker1/speaker_01_phrase_05_take_01.wav,Play the music,train,speaker_01,en,music_play
custom_dataset/audio/Speaker1/speaker_01_phrase_05_take_02.wav,Play the music,val,speaker_01,en,music_play
custom_dataset/audio/Speaker1/speaker_01_phrase_05_take_03.wav,Play the music,test,speaker_01,en,music_play
custom_dataset/audio/Speaker1/speaker_01_phrase_06_take_01.wav,Stop the music,train,speaker_01,en,music_stop
custom_dataset/audio/Speaker1/speaker_01_phrase_06_take_02.wav,Stop the music,val,speaker_01,en,music_stop
custom_dataset/audio/Speaker1/speaker_01_phrase_06_take_03.wav,Stop the music,test,speaker_01,en,music_stop
custom_dataset/audio/Speaker1/speaker_01_phrase_07_take_01.wav,Increase the volume,train,speaker_01,en,volume_up
custom_dataset/audio/Speaker1/speaker_01_phrase_07_take_02.wav,Increase the volume,val,speaker_01,en,volume_up
custom_dataset/audio/Speaker1/speaker_01_phrase_07_take_03.wav,Increase the volume,test,speaker_01,en,volume_up
